cluster,n_cells,observed,p_value,p_adj,significant
0,1681,0.00033143537010282993,0.000999000999000999,0.0017125731411445698,True
1,1626,0.00032850790046362003,0.000999000999000999,0.0017125731411445698,True
10,582,0.004702166545415831,0.000999000999000999,0.0017125731411445698,True
11,498,0.0010585601965204883,0.000999000999000999,0.0017125731411445698,True
12,423,0.001747840408725757,0.000999000999000999,0.0017125731411445698,True
13,179,0.004519490301927061,0.000999000999000999,0.0017125731411445698,True
14,81,0.000925925925925926,0.01898101898101898,0.03036963036963037,True
15,71,0.00040241448692152917,0.2757242757242757,0.33086913086913083,False
16,51,0.000784313725490196,0.16583416583416583,0.20947473579052525,False
17,30,0.0,1.0,1.0,False
18,24,0.0036231884057971015,0.04095904095904096,0.054612054612054615,False
19,24,0.0,1.0,1.0,False
2,1593,0.0008067645193954707,0.000999000999000999,0.0017125731411445698,True
20,20,0.005263157894736842,0.022977022977022976,0.034465534465534464,True
21,19,0.005847953216374269,0.025974025974025976,0.03666921313980137,True
22,14,0.0,1.0,1.0,False
23,10,0.0,1.0,1.0,False
3,1587,0.0005951572160627291,0.000999000999000999,0.0017125731411445698,True
4,1458,0.0009565476913401365,0.000999000999000999,0.0017125731411445698,True
5,1357,0.002049897505124744,0.000999000999000999,0.0017125731411445698,True
6,981,0.0005783353096590318,0.000999000999000999,0.0017125731411445698,True
7,823,0.0016289582058400074,0.000999000999000999,0.0017125731411445698,True
8,753,0.0014304484190895991,0.000999000999000999,0.0017125731411445698,True
9,743,0.0009178205932821337,0.000999000999000999,0.0017125731411445698,True
