cluster,nearest_sibling,n_cells,observed,p_value,p_adj,significant
0,7,1681,0.00033143537010282993,1.0,1.0,False
1,3,1626,0.00032850790046362003,0.001998001998001998,0.0036886190732344577,True
10,5,582,0.004702166545415831,0.000999000999000999,0.001998001998001998,True
11,3,498,0.0010585601965204883,0.000999000999000999,0.001998001998001998,True
12,4,423,0.001747840408725757,0.000999000999000999,0.001998001998001998,True
13,9,179,0.004519490301927061,0.000999000999000999,0.001998001998001998,True
14,1,81,0.000925925925925926,0.08191808191808192,0.14043099757385472,False
15,9,71,0.00040241448692152917,0.8741258741258742,1.0,False
16,8,51,0.000784313725490196,0.8201798201798202,1.0,False
17,0,30,0.0,1.0,1.0,False
18,7,24,0.0036231884057971015,0.3386613386613387,0.47811012516894874,False
19,3,24,0.0,1.0,1.0,False
2,8,1593,0.0008067645193954707,0.000999000999000999,0.001998001998001998,True
20,9,20,0.005263157894736842,0.14485514485514486,0.2172827172827173,False
21,6,19,0.005847953216374269,0.0939060939060939,0.15024975024975026,False
22,8,14,0.0,1.0,1.0,False
23,0,10,0.0,1.0,1.0,False
3,6,1587,0.0005951572160627291,0.000999000999000999,0.001998001998001998,True
4,0,1458,0.0009565476913401365,0.000999000999000999,0.001998001998001998,True
5,10,1357,0.002049897505124744,0.000999000999000999,0.001998001998001998,True
6,3,981,0.0005783353096590318,0.000999000999000999,0.001998001998001998,True
7,0,823,0.0016289582058400074,0.000999000999000999,0.001998001998001998,True
8,0,753,0.0014304484190895991,0.000999000999000999,0.001998001998001998,True
9,6,743,0.0009178205932821337,0.000999000999000999,0.001998001998001998,True
