n_perm,cluster,p_adj
100,0,1.0
100,1,0.018278750952018277
100,10,0.018278750952018277
100,11,0.018278750952018277
100,12,0.018278750952018277
100,13,0.018278750952018277
100,14,0.16973125884016976
100,15,1.0
100,16,1.0
100,17,1.0
100,18,0.5032032615026208
100,19,1.0
100,2,0.018278750952018277
100,20,0.26732673267326734
100,21,0.1900990099009901
100,22,1.0
100,23,1.0
100,3,0.018278750952018277
100,4,0.018278750952018277
100,5,0.018278750952018277
100,6,0.018278750952018277
100,7,0.018278750952018277
100,8,0.018278750952018277
100,9,0.018278750952018277
250,0,1.0
250,1,0.007355194606190622
250,10,0.007355194606190622
250,11,0.007355194606190622
250,12,0.007355194606190622
250,13,0.007355194606190622
250,14,0.15025611838360842
250,15,1.0
250,16,1.0
250,17,1.0
250,18,0.6074525427700961
250,19,1.0
250,2,0.007355194606190622
250,20,0.2749003984063745
250,21,0.17848605577689242
250,22,1.0
250,23,1.0
250,3,0.007355194606190622
250,4,0.007355194606190622
250,5,0.007355194606190622
250,6,0.007355194606190622
250,7,0.007355194606190622
250,8,0.007355194606190622
250,9,0.007355194606190622
500,0,1.0
500,1,0.0036849378166743433
500,10,0.0036849378166743433
500,11,0.0036849378166743433
500,12,0.0036849378166743433
500,13,0.0036849378166743433
500,14,0.1500998003992016
500,15,1.0
500,16,1.0
500,17,1.0
500,18,0.4903134906657274
500,19,1.0
500,2,0.0036849378166743433
500,20,0.23952095808383234
500,21,0.1334473909324209
500,22,1.0
500,23,1.0
500,3,0.0036849378166743433
500,4,0.0036849378166743433
500,5,0.0036849378166743433
500,6,0.0036849378166743433
500,7,0.0036849378166743433
500,8,0.0036849378166743433
500,9,0.0036849378166743433
1000,0,1.0
1000,1,0.0036886190732344577
1000,10,0.001998001998001998
1000,11,0.001998001998001998
1000,12,0.001998001998001998
1000,13,0.001998001998001998
1000,14,0.14043099757385472
1000,15,1.0
1000,16,1.0
1000,17,1.0
1000,18,0.47811012516894874
1000,19,1.0
1000,2,0.001998001998001998
1000,20,0.2172827172827173
1000,21,0.15024975024975026
1000,22,1.0
1000,23,1.0
1000,3,0.001998001998001998
1000,4,0.001998001998001998
1000,5,0.001998001998001998
1000,6,0.001998001998001998
1000,7,0.001998001998001998
1000,8,0.001998001998001998
1000,9,0.001998001998001998
2500,0,1.0
2500,1,0.0007381662719527574
2500,10,0.0007381662719527574
2500,11,0.0007381662719527574
2500,12,0.0007381662719527574
2500,13,0.0007381662719527574
2500,14,0.13690523790483808
2500,15,1.0
2500,16,1.0
2500,17,1.0
2500,18,0.4741632758661241
2500,19,1.0
2500,2,0.0007381662719527574
2500,20,0.20751699320271888
2500,21,0.13690523790483808
2500,22,1.0
2500,23,1.0
2500,3,0.0007381662719527574
2500,4,0.0007381662719527574
2500,5,0.0007381662719527574
2500,6,0.0007381662719527574
2500,7,0.0007381662719527574
2500,8,0.0007381662719527574
2500,9,0.0007381662719527574
5000,0,1.0
5000,1,0.0014766277513728022
5000,10,0.0003999200159968006
5000,11,0.0003999200159968006
5000,12,0.0003999200159968006
5000,13,0.0003999200159968006
5000,14,0.14493101379724055
5000,15,1.0
5000,16,1.0
5000,17,1.0
5000,18,0.5038992201559688
5000,19,1.0
5000,2,0.0003999200159968006
5000,20,0.22405518896220755
5000,21,0.14493101379724055
5000,22,1.0
5000,23,1.0
5000,3,0.0003999200159968006
5000,4,0.0003999200159968006
5000,5,0.0003999200159968006
5000,6,0.0003999200159968006
5000,7,0.0003999200159968006
5000,8,0.0003999200159968006
5000,9,0.0003999200159968006
